title,release
['Project Silence (2020)'],['Sortie : 21 août 2024 (France). ']
['Blink Twice (2024)'],['Sortie : 21 août 2024 (France). ']
['Jamais plus – It Ends With Us (2024)'],['Sortie : 21 août 2024 (France). ']
['Zénithal (2024)'],['Sortie : 21 août 2024. ']
['Kraven The Hunter (2024)'],['Sortie : 28 août 2024 (France). ']
['MaXXXine (2024)'],['Sortie : 28 août 2024 (France). ']
['They Listen (2024)'],['Sortie : 28 août 2024 (France). ']
['Almamula (2023)'],['Sortie : 28 août 2024. ']
"[""Toubib, 12 années dans la vie d'un étudiant en médecine (2024)""]",['Sortie : 28 août 2024. ']
['À l’ancienne (2024)'],['Sortie : 4 septembre 2024. ']
['Dreamland (2024)'],['Sortie : 4 septembre 2024. ']
['Beetlejuice Beetlejuice (2024)'],['Sortie : 11 septembre 2024 (France). ']
['Langue étrangère (2024)'],['Sortie : 11 septembre 2024. ']
['Les Barbares (2024)'],['Sortie : 11 septembre 2024. ']
"['In Liebe, Eure Hilde (2024)']",['Sortie : 11 septembre 2024 (France). ']
['Leurs enfants après eux (2024)'],['Sortie : 18 septembre 2024. ']
['Wolfs (2024)'],['Sortie : 18 septembre 2024 (France). ']
['Toxicily (2024)'],['Sortie : 18 septembre 2024. ']
['Dahomey (2024)'],['Sortie : 25 septembre 2024. ']
['Beautiful Beings (2022)'],['Sortie : 25 septembre 2024 (France). ']
"['Maya, donne-moi un titre (2024)']",['Sortie : 25 septembre 2024. ']
['Le Fil (2024)'],['Sortie : 25 septembre 2024. ']
['Ni chaînes ni maîtres (2024)'],['Sortie : 25 septembre 2024 (France). ']
"['Vivre, mourir, renaître (2024)']",['Sortie : 25 septembre 2024. ']
['Joker - Folie à deux (2024)'],['Sortie : 2 octobre 2024 (France). ']
['Super Séniors (2023)'],['Sortie : 2 octobre 2024 (France). ']
['Le Robot sauvage (2024)'],['Sortie : 9 octobre 2024 (France). ']
['La Damnée (2023)'],['Sortie : 9 octobre 2024 (France). ']
['Ozi - La voix de la forêt (2023)'],['Sortie : 9 octobre 2024 (France). ']
['Lee (2023)'],['Sortie : 9 octobre 2024 (France). ']
['Devara: Part 1 (2024)'],['Sortie : 10 octobre 2024. ']
['Le Mur qui nous sépare (2018)'],['Sortie : 9 octobre 2024 (France). ']
"[""L'Amour ouf (2024)""]",['Sortie : 16 octobre 2024. ']
['Venom: The Last Dance (2024)'],['Sortie : 22 octobre 2025 (France). ']
['Sauvages ! (2023)'],['Sortie : 16 octobre 2024 (France). ']
['Untitled Smile Sequel (2024)'],['Sortie : 16 octobre 2024 (France). ']
"[""C'est le monde à l'envers ! (2024)""]",['Sortie : 16 octobre 2024. ']
['Wolfman (2024)'],['Sortie : 23 octobre 2024 (France). ']
['Transformers - Le Commencement (2024)'],['Sortie : 23 octobre 2024 (France). ']
['Monsieur Aznavour (2024)'],['Sortie : 23 octobre 2024. ']
['Terrifier 3 (2024)'],['Sortie : 30 octobre 2024 (France). ']
['Le Repli (2023)'],['Sortie : 30 octobre 2024. ']
['The Amateur (2024)'],['Sortie : 6 novembre 2024 (France). ']
['Louise Violet (2024)'],['Sortie : 6 novembre 2024. ']
['Sur un fil (2024)'],['Sortie : 6 novembre 2024. ']
['La Vallée des fous (2024)'],['Sortie : 13 novembre 2024. ']
['Gladiator 2 (2024)'],['Sortie : 20 novembre 2024 (France). ']
['La Plus Précieuse des marchandises (2024)'],['Sortie : 20 novembre 2024. ']
['Piece by Piece (2024)'],['Sortie : 20 novembre 2024 (France). ']
['Wicked (2024)'],['Sortie : 27 novembre 2024. ']
['Vaiana 2 (2024)'],['Sortie : 27 novembre 2024. ']
['Conclave (2023)'],['Sortie : 4 décembre 2024 (France). ']
['The Lord of the Rings: The War of the Rohirrim (2024)'],['Sortie : 11 décembre 2024 (France). ']
['Saint-Ex (2024)'],['Sortie : 11 décembre 2024. ']
['Mufasa - Le Roi Lion (2024)'],['Sortie : 18 décembre 2024 (France). ']
['Karate Kid 6 (2024)'],['Sortie : 18 décembre 2024 (France). ']
['Jamais sans mon psy (2024)'],['Sortie : 18 décembre 2024. ']
"[""Le Noël de Teddy l'ourson (2022)""]",['Sortie : 18 décembre 2024 (France). ']
